match_id,season,date_time,home_team,away_team,stadium,home_team_score,away_team_score,penalty_shoot_out,attendance
101,2021-2022,2022-02-22,Chelsea FC,Lille OSC,Stamford Bridge,2,0,0,38832
102,2021-2022,2022-02-22,Villarreal CF,Juventus,Estadio de la Cerámica,1,1,0,17686
103,2021-2022,2022-02-23,SL Benfica,AFC Ajax,Estádio da Luz,2,2,0,54760
104,2021-2022,2022-02-23,Atlético Madrid,Manchester United,Wanda Metropolitano,1,1,0,63273
105,2021-2022,2022-03-08,Bayern München,RB Salzburg,Allianz Arena,7,1,0,25000
106,2021-2022,2022-03-08,Liverpool FC,Inter,Anfield,0,1,0,51747
107,2021-2022,2022-03-09,Manchester City,Sporting CP,Etihad Stadium,0,0,0,51213
108,2021-2022,2022-03-09,Real Madrid,Paris Saint-Germain,Santiago Bernabéu,3,1,0,59895
109,2021-2022,2022-03-15,AFC Ajax,SL Benfica,Johan Cruijff ArenA,0,1,0,54066
110,2021-2022,2022-03-15,Manchester United,Atlético Madrid,Old Trafford,0,1,0,73008
111,2021-2022,2022-03-16,Lille OSC,Chelsea FC,Stade Pierre Mauroy,1,2,0,49048
112,2021-2022,2022-03-16,Juventus,Villarreal CF,Allianz Stadium,0,3,0,30385
113,2021-2022,2022-04-05,Manchester City,Atlético Madrid,Etihad Stadium,1,0,0,52018
114,2021-2022,2022-04-05,SL Benfica,Liverpool FC,Estádio da Luz,1,3,0,59633
115,2021-2022,2022-04-06,Chelsea FC,Real Madrid,Stamford Bridge,1,3,0,38689
116,2021-2022,2022-04-06,Villarreal CF,Bayern München,Estadio de la Cerámica,1,0,0,21626
117,2021-2022,2022-04-12,Real Madrid,Chelsea FC,Santiago Bernabéu,2,3,0,59839
118,2021-2022,2022-04-12,Bayern München,Villarreal CF,Allianz Arena,1,1,0,70000
119,2021-2022,2022-04-13,Atlético Madrid,Manchester City,Wanda Metropolitano,0,0,0,65675
120,2021-2022,2022-04-13,Liverpool FC,SL Benfica,Anfield,3,3,0,51373
121,2021-2022,2022-04-26,Manchester City,Real Madrid,Etihad Stadium,4,3,0,55097
122,2021-2022,2022-04-27,Liverpool FC,Villarreal CF,Anfield,2,0,0,51586
123,2021-2022,2022-05-03,Villarreal CF,Liverpool FC,Estadio de la Cerámica,2,3,0,23665
124,2021-2022,2022-05-04,Real Madrid,Manchester City,Santiago Bernabéu,3,1,0,61416
125,2021-2022,2022-05-28,Liverpool FC,Real Madrid,Stade de France,0,1,0,0
126,2020-2021,2020-10-21,RB Salzburg,Lokomotiv Moskva,Red Bull Arena,2,2,0,3000
127,2020-2021,2020-10-21,Bayern München,Atlético Madrid,Allianz Arena,4,0,0,0
128,2020-2021,2020-10-27,Lokomotiv Moskva,Bayern München,RŽD-Arena,1,2,0,8196
129,2020-2021,2020-10-27,Atlético Madrid,RB Salzburg,Wanda Metropolitano,3,2,0,0
130,2020-2021,2020-11-03,Lokomotiv Moskva,Atlético Madrid,RŽD-Arena,1,1,0,8147
131,2020-2021,2020-11-03,RB Salzburg,Bayern München,Red Bull Arena,2,6,0,0
132,2020-2021,2020-11-25,Atlético Madrid,Lokomotiv Moskva,Wanda Metropolitano,0,0,0,0
133,2020-2021,2020-11-25,Bayern München,RB Salzburg,Allianz Arena,3,1,0,0
134,2020-2021,2020-12-01,Lokomotiv Moskva,RB Salzburg,RŽD-Arena,1,3,0,6759
135,2020-2021,2020-12-01,Atlético Madrid,Bayern München,Wanda Metropolitano,1,1,0,0
136,2020-2021,2020-12-09,Bayern München,Lokomotiv Moskva,Allianz Arena,2,0,0,0
137,2020-2021,2020-12-09,RB Salzburg,Atlético Madrid,Red Bull Arena,0,2,0,0
138,2020-2021,2020-10-21,Real Madrid,Shakhtar Donetsk,Alfredo Di Stéfano,2,3,0,0
139,2020-2021,2020-10-21,Inter,Bor. Mönchengladbach,Giuseppe Meazza,2,2,0,1000
140,2020-2021,2020-10-27,Shakhtar Donetsk,Inter,Olimpiyskyi,0,0,0,10178
141,2020-2021,2020-10-27,Bor. Mönchengladbach,Real Madrid,Borussia-Park,2,2,0,0
142,2020-2021,2020-11-03,Shakhtar Donetsk,Bor. Mönchengladbach,Olimpiyskyi,0,6,0,0
143,2020-2021,2020-11-03,Real Madrid,Inter,Alfredo Di Stéfano,3,2,0,0
144,2020-2021,2020-11-25,Bor. Mönchengladbach,Shakhtar Donetsk,Borussia-Park,4,0,0,0
145,2020-2021,2020-11-25,Inter,Real Madrid,Giuseppe Meazza,0,2,0,0
146,2020-2021,2020-12-01,Shakhtar Donetsk,Real Madrid,Olimpiyskyi,2,0,0,0
147,2020-2021,2020-12-01,Bor. Mönchengladbach,Inter,Borussia-Park,2,3,0,0
148,2020-2021,2020-12-09,Inter,Shakhtar Donetsk,Giuseppe Meazza,0,0,0,0
149,2020-2021,2020-12-09,Real Madrid,Bor. Mönchengladbach,Alfredo Di Stéfano,2,0,0,0
150,2020-2021,2020-10-21,Manchester City,FC Porto,Etihad Stadium,3,1,0,0
151,2020-2021,2020-10-21,Olympiakos Piraeus,Olympique Marseille,Georgios Karaiskakis,1,0,0,0
152,2020-2021,2020-10-27,FC Porto,Olympiakos Piraeus,Estádio do Dragão,2,0,0,2450
153,2020-2021,2020-10-27,Olympique Marseille,Manchester City,Vélodrome,0,3,0,0
154,2020-2021,2020-11-03,FC Porto,Olympique Marseille,Estádio do Dragão,3,0,0,0
155,2020-2021,2020-11-03,Manchester City,Olympiakos Piraeus,Etihad Stadium,3,0,0,0
156,2020-2021,2020-11-25,Olympiakos Piraeus,Manchester City,Georgios Karaiskakis,0,1,0,0
157,2020-2021,2020-11-25,Olympique Marseille,FC Porto,Vélodrome,0,2,0,0
158,2020-2021,2020-12-01,FC Porto,Manchester City,Estádio do Dragão,0,0,0,0
159,2020-2021,2020-12-01,Olympique Marseille,Olympiakos Piraeus,Vélodrome,2,1,0,0
160,2020-2021,2020-12-09,Manchester City,Olympique Marseille,Etihad Stadium,3,0,0,1
161,2020-2021,2020-12-09,Olympiakos Piraeus,FC Porto,Georgios Karaiskakis,0,2,0,0
162,2020-2021,2020-10-21,AFC Ajax,Liverpool FC,Johan Cruijff ArenA,0,1,0,0
163,2020-2021,2020-10-21,FC Midtjylland,Atalanta,MCH Arena,0,4,0,132
164,2020-2021,2020-10-27,Atalanta,AFC Ajax,Gewiss Stadium,2,2,0,0
165,2020-2021,2020-10-27,Liverpool FC,FC Midtjylland,Anfield,2,0,0,0
166,2020-2021,2020-11-03,Atalanta,Liverpool FC,Gewiss Stadium,0,5,0,0
